volcano_number,volcano_name,country,latitude,longitude,vei,start_year,start_day,eruption_times,eruption_start_time,eruption_start_time_numeric,eruption_start_time_numeric_full,eruption_frequency,primary_volcano_type
352040,Sumaco,Ecuador,-0.538,-77.626,2.0,1933.0,0.0,3,1933-02-00,1933.0833333333333,1933.0860730593608,Medium (3-10),Stratovolcanoes
261180,Sumbing,Indonesia,-2.414,101.728,2.0,1921.0,23.0,2,1921-05-23,1921.3962987297416,1921.3963470319636,Low (0-2),Stratovolcanoes
263220,Sumbing,Indonesia,-7.384,110.07,1.0,1730.0,0.0,1,1730-00-00,1729.9166666666667,1730.0027397260274,Low (0-2),Stratovolcanoes
284080,Sumisujima,Japan,31.44,140.051,0.0,2005.0,8.0,24,2005-03-08,2005.188567674113,2005.1885844748856,High (>10),Others
263210,Sundoro,Indonesia,-7.3,109.992,2.0,1971.0,29.0,11,1971-10-29,1971.829391151993,1971.8294520547945,High (>10),Stratovolcanoes
257010,Suretamatai,Vanuatu,-13.8,167.47,2.0,1965.0,9.0,4,1965-08-09,1965.6079719667105,1965.60799086758,Medium (3-10),Complex
282030,Suwanosejima,Japan,29.638,129.714,2.0,2004.0,23.0,27,2004-10-23,2004.8129653964083,2004.81301369863,High (>10),Stratovolcanoes
273070,Taal,Philippines,14.002,120.993,2.0,2020.0,12.0,36,2020-01-12,2020.0328515111696,2020.0328767123287,High (>10),Calderas
355011,Taapaca,Chile,-18.1,-69.5,2.0,-320.0,0.0,8,320-BCE-00-00,-320.0833333333333,-319.9972602739726,Medium (3-10),Complex
341130,Tacana,Mexico-Guatemala,15.132,-92.109,1.0,1986.0,16.0,11,1986-02-16,1986.127135348226,1986.127168949772,High (>10),Stratovolcanoes
355010,Tacora,Chile-Peru,-17.72,-69.77,2.0,1937.0,5.0,2,1937-08-05,1937.5970214629872,1937.5970319634705,Low (0-2),Stratovolcanoes
243120,Tafu-Maka,Tonga,-15.37,-174.23,0.0,2008.0,16.0,1,2008-11-16,2008.877135348226,2008.877168949772,Low (0-2),Others
221010,"Tair, Jebel at",Yemen,15.55,41.83,3.0,2007.0,30.0,5,2007-09-30,2007.7487954445903,2007.7488584474888,Medium (3-10),Stratovolcanoes
285060,Taisetsuzan,Japan,43.664,142.854,2.0,1739.0,0.0,5,1739-00-00,1738.9166666666667,1739.0027397260274,Medium (3-10),Stratovolcanoes
283143,Takaharayama,Japan,36.9,139.777,4.0,-4570.0,0.0,1,4570-BCE-00-00,-4570.083333333333,-4569.997260273973,Low (0-2),Stratovolcanoes
390027,Takahe,Antarctica,-76.28,-112.08,2.0,-5550.0,0.0,3,5550-BCE-00-00,-5550.083333333333,-5549.997260273973,Medium (3-10),Shield
261130,Talakmau,Indonesia,0.079,99.98,1.0,1937.0,8.0,1,1937-09-08,1937.688567674113,1937.6885844748856,Low (0-2),Complex
261160,Talang,Indonesia,-0.979,100.681,2.0,2007.0,27.0,15,2007-11-27,2007.9072492334649,2007.907305936073,High (>10),Stratovolcanoes
264040,Tambora,Indonesia,-8.25,118.0,0.0,1967.0,2.0,7,1967-07-02,1967.5054752518613,1967.5054794520547,Medium (3-10),Stratovolcanoes
